,EC,SUBS
0,EC-1,CPD-722
1,EC-1,Red-Thioredoxin
2,EC-1,CPD-8922
3,EC-1,OXYGEN-MOLECULE
4,EC-1,CPD-8922
5,EC-1,OXYGEN-MOLECULE
6,EC-1,Donor-H2
7,EC-1,Nitroaromatic-Ox-Compounds
8,EC-1,NADPH
9,EC-1,CPD-10257
10,EC-1,OXYGEN-MOLECULE
11,EC-1,Donor-H2
12,EC-1,OXOPENTENOATE
13,EC-1,Acceptor
14,EC-1,CPD-14537
15,EC-1,OXYGEN-MOLECULE
16,EC-1,PROTON
17,EC-1,Donor-H2
18,EC-1,CPD-8927
19,EC-1,OXYGEN-MOLECULE
20,EC-1,SALICYLALDEHYDE
21,EC-1,Donor-H2
22,EC-1,CPD-8961
23,EC-1,OXYGEN-MOLECULE
24,EC-1,Donor-H2
25,EC-1,COUMARATE
26,EC-1,BIOTIN
27,EC-1,Ox-Thioredoxin
28,EC-1,WATER
29,EC-1,CPD-8928
30,EC-1,CPD-14837
31,EC-1,WATER
32,EC-1,Acceptor
33,EC-1,Nitroaromatic-Red-Compounds
34,EC-1,NADP
35,EC-1,CPD-10258
36,EC-1,WATER
37,EC-1,Acceptor
38,EC-1,CPD-9734
39,EC-1,Donor-H2
40,EC-1,CPD-14536
41,EC-1,WATER
42,EC-1,Acceptor
43,EC-1,CPD-8928
44,EC-1,WATER
45,EC-1,CPD-173
46,EC-1,Acceptor
47,EC-1,CPD-8962
48,EC-1,WATER
49,EC-1,Acceptor
50,EC-1,CPD-14005
51,EC-1.1,CPD-19423
52,EC-1.1,Acceptor
53,EC-1.1,C86-cis-keto-mycolate-pks13
54,EC-1.1,Acceptor
55,EC-1.1,CPD-720
56,EC-1.1,Acceptor
57,EC-1.1,CPD-9939
58,EC-1.1,Acceptor
59,EC-1.1,4-3-PYRIDYL-BUTANOATE
60,EC-1.1,Acceptor
61,EC-1.1,C86-trans-methoxy-mycolate-pks13
62,EC-1.1,Acceptor
63,EC-1.1,CPD-3482
64,EC-1.1,Acceptor
65,EC-1.1,C87-trans-keto-mycolate-pks13
66,EC-1.1,Acceptor
67,EC-1.1,CPD-3484
68,EC-1.1,Acceptor
69,EC-1.1,CPD-9938
70,EC-1.1,Acceptor
71,EC-1.1,trans-D20-39-OH-40-Me-C60-1-ACPs
72,EC-1.1,Acceptor
73,EC-1.1,C78-alpha-mycolate-pks13
74,EC-1.1,Acceptor
75,EC-1.1,CPD-712
76,EC-1.1,Acceptor
77,EC-1.1,CPD-715
78,EC-1.1,Acceptor
79,EC-1.1,CPD-19424
80,EC-1.1,Acceptor
81,EC-1.1,3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE
82,EC-1.1,NAD
83,EC-1.1,CPDQT-428
84,EC-1.1,Acceptor
85,EC-1.1,Alkyl-Sulfenates
86,EC-1.1,Acceptor
87,EC-1.1,CPD-6362
88,EC-1.1,Acceptor
89,EC-1.1,CPD-710
90,EC-1.1,Acceptor
91,EC-1.1,CPD-3193
92,EC-1.1,Acceptor
93,EC-1.1,CPD-18293
94,EC-1.1,Acceptor
95,EC-1.1,CPD-17160
96,EC-1.1,Acceptor
97,EC-1.1,CPD-9737
98,EC-1.1,Acceptor
99,EC-1.1,CPD-717
100,EC-1.1,Acceptor
101,EC-1.1,CPD-19443
102,EC-1.1,Donor-H2
103,EC-1.1,3-oxo-C86-cis-keto-mycolate-pks13
104,EC-1.1,Donor-H2
105,EC-1.1,CPD-717
106,EC-1.1,Donor-H2
107,EC-1.1,CPD-9940
108,EC-1.1,Donor-H2
109,EC-1.1,CPD-3194
110,EC-1.1,Donor-H2
111,EC-1.1,3-oxo-C86-trans-methoxy-mycolate-pks13
112,EC-1.1,Donor-H2
113,EC-1.1,CPD-3481
114,EC-1.1,Donor-H2
115,EC-1.1,3-oxo-C87-trans-keto-mycolate-pks13
116,EC-1.1,Donor-H2
117,EC-1.1,CPD-3481
118,EC-1.1,Donor-H2
119,EC-1.1,CPD-9941
120,EC-1.1,Donor-H2
121,EC-1.1,trans-D20-39-oxo-40-Me-C60-1-ACPs
122,EC-1.1,Donor-H2
123,EC-1.1,3-oxo-C78-alpha-mycolate-pks13
124,EC-1.1,Donor-H2
125,EC-1.1,CPD-3946
126,EC-1.1,Donor-H2
127,EC-1.1,CPD-717
128,EC-1.1,Donor-H2
129,EC-1.1,CPD-19444
130,EC-1.1,Donor-H2
131,EC-1.1,CPD-293
132,EC-1.1,NADH
133,EC-1.1,PROTON
134,EC-1.1,INDOLE-3-CARBOXALDEHYDE
135,EC-1.1,Donor-H2
136,EC-1.1,Sulfines
137,EC-1.1,Donor-H2
138,EC-1.1,ISATIN
139,EC-1.1,Donor-H2
140,EC-1.1,CPD-709
141,EC-1.1,Donor-H2
142,EC-1.1,CPD-14094
143,EC-1.1,Donor-H2
144,EC-1.1,CPD-18292
145,EC-1.1,Donor-H2
146,EC-1.1,CPD-17161
147,EC-1.1,Donor-H2
148,EC-1.1,CPD-9738
149,EC-1.1,Donor-H2
150,EC-1.1,CPD-12496
151,EC-1.1,Donor-H2
152,EC-1.1.1,D-galactopyranose
153,EC-1.1.1,NADP
154,EC-1.1.1,CPD-14807
155,EC-1.1.1,NADP
156,EC-1.1.1,CPD-9667
157,EC-1.1.1,Donor-H2
158,EC-1.1.1,CPD-19085
159,EC-1.1.1,NAD
160,EC-1.1.1,cis-D21-39-OH-40-Me-C59-1-ACPs
161,EC-1.1.1,Acceptor
162,EC-1.1.1,CPD-12004
163,EC-1.1.1,NAD
164,EC-1.1.1,CPD-15645
165,EC-1.1.1,NAD-P-OR-NOP
166,EC-1.1.1,CPD0-1551
167,EC-1.1.1,NADH-P-OR-NOP
168,EC-1.1.1,PROTON
169,EC-1.1.1,CPD-12905
170,EC-1.1.1,Acceptor
171,EC-1.1.1,16-HYDROXYPALMITATE
172,EC-1.1.1,NADP
173,EC-1.1.1,CPD-7275
174,EC-1.1.1,NAD
175,EC-1.1.1,3S-11-cis-3-hydroxyretinol-RBPs
176,EC-1.1.1,NADP
177,EC-1.1.1,CPD-15746
178,EC-1.1.1,NADP
179,EC-1.1.1,RS-3-Sulfolactate
180,EC-1.1.1,Acceptor
181,EC-1.1.1,CPD-347
182,EC-1.1.1,NADP
183,EC-1.1.1,CPD-12675
184,EC-1.1.1,NAD
185,EC-1.1.1,CPD-13967
186,EC-1.1.1,NADP
187,EC-1.1.1,CPD-17011
188,EC-1.1.1,NAD-P-OR-NOP
189,EC-1.1.1,CPD-14805
190,EC-1.1.1,NAD
191,EC-1.1.1,ACETOIN
192,EC-1.1.1,NADP
193,EC-1.1.1,CPD-17407
194,EC-1.1.1,NADPH
195,EC-1.1.1,PROTON
196,EC-1.1.1,3R-all-trans-3-hydroxyretinol-RBPs
197,EC-1.1.1,NADP
198,EC-1.1.1,25-DDOL
199,EC-1.1.1,NAD
200,EC-1.1.1,CPD-16612
201,EC-1.1.1,NAD-P-OR-NOP
202,EC-1.1.1,ISOBUTANOL
203,EC-1.1.1,NADP
204,EC-1.1.1,CPD-18244
205,EC-1.1.1,NAD-P-OR-NOP
206,EC-1.1.1,CPD-17370
207,EC-1.1.1,NADP
208,EC-1.1.1,CPD-16723
209,EC-1.1.1,NADP
210,EC-1.1.1,CPD-14358
211,EC-1.1.1,NADP
212,EC-1.1.1,25-DIDEHYDRO-D-GLUCONATE
213,EC-1.1.1,NADH-P-OR-NOP
214,EC-1.1.1,PROTON
215,EC-1.1.1,CPD-17727
216,EC-1.1.1,NAD
217,EC-1.1.1,CHOLINE
218,EC-1.1.1,NAD
219,EC-1.1.1,CPD-16613
220,EC-1.1.1,NAD-P-OR-NOP
221,EC-1.1.1,CPD-10261
222,EC-1.1.1,NADP
223,EC-1.1.1,CPD-3631
224,EC-1.1.1,NADPH
225,EC-1.1.1,PROTON
226,EC-1.1.1,CPD-14808
227,EC-1.1.1,NAD
228,EC-1.1.1,D-MANNONATE
229,EC-1.1.1,NADP
230,EC-1.1.1,CPD-692
231,EC-1.1.1,Donor-H2
232,EC-1.1.1,CPD-12575
233,EC-1.1.1,NAD
234,EC-1.1.1,CPD-10051
235,EC-1.1.1,NAD
236,EC-1.1.1,CPD-13229
237,EC-1.1.1,NADP
238,EC-1.1.1,CPD-18133
239,EC-1.1.1,NADH-P-OR-NOP
240,EC-1.1.1,PROTON
241,EC-1.1.1,CPD1A0-6104
242,EC-1.1.1,NADPH
243,EC-1.1.1,PROTON
244,EC-1.1.1,CPD-7066
245,EC-1.1.1,NAD
246,EC-1.1.1,BUTANOL
247,EC-1.1.1,NAD
248,EC-1.1.1,5-DEHYDROGLUCONATE
249,EC-1.1.1,NADP
250,EC-1.1.1,CPD-13555
251,EC-1.1.1,NADH-P-OR-NOP
252,EC-1.1.1,PROTON
253,EC-1.1.1,CPD-18537
254,EC-1.1.1,NAD
255,EC-1.1.1,CPD0-2357
256,EC-1.1.1,NADH-P-OR-NOP
257,EC-1.1.1,PROTON
258,EC-1.1.1,CPD-14826
259,EC-1.1.1,NADP
260,EC-1.1.1,CPD-18210
261,EC-1.1.1,NAD-P-OR-NOP
262,EC-1.1.1,CIS-3-HEXENAL
263,EC-1.1.1,NADPH
264,EC-1.1.1,PROTON
265,EC-1.1.1,CPD-16844
266,EC-1.1.1,NADH
267,EC-1.1.1,CPD-12969
268,EC-1.1.1,NAD
269,EC-1.1.1,CPD-11915
270,EC-1.1.1,NADP
271,EC-1.1.1,CPD-18128
272,EC-1.1.1,NADH-P-OR-NOP
273,EC-1.1.1,PROTON
274,EC-1.1.1,CPD-10786
275,EC-1.1.1,NADP
276,EC-1.1.1,HEXANOL-CMPD
277,EC-1.1.1,NAD
278,EC-1.1.1,QUININE
279,EC-1.1.1,CPD-9846
280,EC-1.1.1,NADP
281,EC-1.1.1,CPD-16886
282,EC-1.1.1,NAD
283,EC-1.1.1,CPD-17972
284,EC-1.1.1,NADP
285,EC-1.1.1,CPD-13698
286,EC-1.1.1,NAD
287,EC-1.1.1,CPD-12693
288,EC-1.1.1,NADP
289,EC-1.1.1,CPD-3745
290,EC-1.1.1,OXYGEN-MOLECULE
291,EC-1.1.1,Donor-H2
292,EC-1.1.1,CPD-15904
293,EC-1.1.1,NADP
294,EC-1.1.1,CPD-18185
295,EC-1.1.1,CPD-7093
296,EC-1.1.1,NAD-P-OR-NOP
297,EC-1.1.1,2-OH-4-IPCH-1-carboxyl-CoA
298,EC-1.1.1,NAD
299,EC-1.1.1,CPD-16838
300,EC-1.1.1,NAD-P-OR-NOP
301,EC-1.1.1,CPD-14062
302,EC-1.1.1,NAD
303,EC-1.1.1,CPD-16612
304,EC-1.1.1,NAD-P-OR-NOP
305,EC-1.1.1,POLY-HYDROXYLATED-TETRAKETIDE-PYRONE
306,EC-1.1.1,NADP
307,EC-1.1.1,ACETOIN
308,EC-1.1.1,NAD
309,EC-1.1.1,DIHYDROXYACETONE
310,EC-1.1.1,NADH-P-OR-NOP
311,EC-1.1.1,PROTON
312,EC-1.1.1,CPD-7066
313,EC-1.1.1,NAD
314,EC-1.1.1,CPD-3402
315,EC-1.1.1,NADPH
316,EC-1.1.1,PROTON
317,EC-1.1.1,NADH-P-OR-NOP
318,EC-1.1.1,CPD-531
319,EC-1.1.1,PROTON
320,EC-1.1.1,CPD-17069
321,EC-1.1.1,Acceptor
322,EC-1.1.1,CPD-336
323,EC-1.1.1,NAD
324,EC-1.1.1,CPD-11573
325,EC-1.1.1,NAD
326,EC-1.1.1,Glucopyranose
327,EC-1.1.1,NADP
328,EC-1.1.1,CPD-13550
329,EC-1.1.1,NAD
330,EC-1.1.1,CPD-12692
331,EC-1.1.1,NAD
332,EC-1.1.1,CPD-7726
333,EC-1.1.1,Acceptor
334,EC-1.1.1,CPD-11916
335,EC-1.1.1,NADP
336,EC-1.1.1,CPD-15647
337,EC-1.1.1,NAD-P-OR-NOP
338,EC-1.1.1,CPD-331
339,EC-1.1.1,NADH
340,EC-1.1.1,PROTON
341,EC-1.1.1,GALACTITOL
342,EC-1.1.1,NAD
343,EC-1.1.1,CPD-9056
344,EC-1.1.1,WATER
345,EC-1.1.1,Acceptor
346,EC-1.1.1,ACETOL
347,EC-1.1.1,NADP
348,EC-1.1.1,3-2-METHYLTHIOETHYLMALIC-ACID
349,EC-1.1.1,NAD
350,EC-1.1.1,CPD-882
351,EC-1.1.1,NADP
352,EC-1.1.1,CPD-17418
353,EC-1.1.1,NADPH
354,EC-1.1.1,PROTON
355,EC-1.1.1,CPD-331
356,EC-1.1.1,NADPH
357,EC-1.1.1,PROTON
358,EC-1.1.1,CPD-14635
359,EC-1.1.1,NAD
360,EC-1.1.1,CPD-8891
361,EC-1.1.1,NADP
362,EC-1.1.1,CPD-17646
363,EC-1.1.1,NADP
364,EC-1.1.1,INDOLE-3-KETOL
365,EC-1.1.1,NAD
366,EC-1.1.1,2K-ADIPATE
367,EC-1.1.1,NAD
368,EC-1.1.1,WATER
369,EC-1.1.1,2-KETO-6-ACETAMIDOCAPROATE
370,EC-1.1.1,NAD
371,EC-1.1.1,CPD-285
372,EC-1.1.1,NAD
373,EC-1.1.1,18-HYDROXYOLEATE
374,EC-1.1.1,NADP
