,EC-NUMBER,PRODUCTS
0,EC-1,BIOTIN
1,EC-1,Ox-Thioredoxin
2,EC-1,WATER
3,EC-1,CPD-8928
4,EC-1,CPD-14837
5,EC-1,WATER
6,EC-1,Acceptor
7,EC-1,Nitroaromatic-Red-Compounds
8,EC-1,NADP
9,EC-1,CPD-10258
10,EC-1,WATER
11,EC-1,Acceptor
12,EC-1,CPD-9734
13,EC-1,Donor-H2
14,EC-1,CPD-14536
15,EC-1,WATER
16,EC-1,Acceptor
17,EC-1,CPD-8928
18,EC-1,WATER
19,EC-1,CPD-173
20,EC-1,Acceptor
21,EC-1,CPD-8962
22,EC-1,WATER
23,EC-1,Acceptor
24,EC-1,CPD-14005
25,EC-1.1,CPD-19443
26,EC-1.1,Donor-H2
27,EC-1.1,3-oxo-C86-cis-keto-mycolate-pks13
28,EC-1.1,Donor-H2
29,EC-1.1,CPD-717
30,EC-1.1,Donor-H2
31,EC-1.1,CPD-9940
32,EC-1.1,Donor-H2
33,EC-1.1,CPD-3194
34,EC-1.1,Donor-H2
35,EC-1.1,3-oxo-C86-trans-methoxy-mycolate-pks13
36,EC-1.1,Donor-H2
37,EC-1.1,CPD-3481
38,EC-1.1,Donor-H2
39,EC-1.1,3-oxo-C87-trans-keto-mycolate-pks13
40,EC-1.1,Donor-H2
41,EC-1.1,CPD-3481
42,EC-1.1,Donor-H2
43,EC-1.1,CPD-9941
44,EC-1.1,Donor-H2
45,EC-1.1,trans-D20-39-oxo-40-Me-C60-1-ACPs
46,EC-1.1,Donor-H2
47,EC-1.1,3-oxo-C78-alpha-mycolate-pks13
48,EC-1.1,Donor-H2
49,EC-1.1,CPD-3946
50,EC-1.1,Donor-H2
51,EC-1.1,CPD-717
52,EC-1.1,Donor-H2
53,EC-1.1,CPD-19444
54,EC-1.1,Donor-H2
55,EC-1.1,CPD-293
56,EC-1.1,NADH
57,EC-1.1,PROTON
58,EC-1.1,INDOLE-3-CARBOXALDEHYDE
59,EC-1.1,Donor-H2
60,EC-1.1,Sulfines
61,EC-1.1,Donor-H2
62,EC-1.1,ISATIN
63,EC-1.1,Donor-H2
64,EC-1.1,CPD-709
65,EC-1.1,Donor-H2
66,EC-1.1,CPD-14094
67,EC-1.1,Donor-H2
68,EC-1.1,CPD-18292
69,EC-1.1,Donor-H2
70,EC-1.1,CPD-17161
71,EC-1.1,Donor-H2
72,EC-1.1,CPD-9738
73,EC-1.1,Donor-H2
74,EC-1.1,CPD-12496
75,EC-1.1,Donor-H2
76,EC-1.1.1,CPD-1242
77,EC-1.1.1,NADPH
78,EC-1.1.1,PROTON
79,EC-1.1.1,CPD-14806
80,EC-1.1.1,NADPH
81,EC-1.1.1,PROTON
82,EC-1.1.1,CPD-18794
