,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
0,EC-1,"['CPD-722', 'Red-Thioredoxin']","['BIOTIN', 'Ox-Thioredoxin', 'WATER']",4.5452347
1,EC-1,"['CPD-8922', 'OXYGEN-MOLECULE']",['CPD-8928'], -50.319992
2,EC-1,"['CPD-8922', 'OXYGEN-MOLECULE', 'Donor-H2']","['CPD-14837', 'WATER', 'Acceptor']", 'No-Data'
3,EC-1,"['Nitroaromatic-Ox-Compounds', 'NADPH']","['Nitroaromatic-Red-Compounds', 'NADP']", 'No-Data'
4,EC-1,"['CPD-10257', 'OXYGEN-MOLECULE', 'Donor-H2']","['CPD-10258', 'WATER', 'Acceptor']", 'No-Data'
5,EC-1,"['OXOPENTENOATE', 'Acceptor']","['CPD-9734', 'Donor-H2']", 'No-Data'
6,EC-1,"['CPD-14537', 'OXYGEN-MOLECULE', 'PROTON', 'Donor-H2']","['CPD-14536', 'WATER', 'Acceptor']", 'No-Data'
7,EC-1,"['CPD-8927', 'OXYGEN-MOLECULE']","['CPD-8928', 'WATER']", -121.35396599999999
8,EC-1,"['SALICYLALDEHYDE', 'Donor-H2']","['CPD-173', 'Acceptor']", 'No-Data'
9,EC-1,"['CPD-8961', 'OXYGEN-MOLECULE', 'Donor-H2']","['CPD-8962', 'WATER', 'Acceptor']", 'No-Data'
10,EC-1,['COUMARATE'],['CPD-14005'], -39.48
11,EC-1.1,"['CPD-19423', 'Acceptor']","['CPD-19443', 'Donor-H2']",'No-Data'
12,EC-1.1,"['C86-cis-keto-mycolate-pks13', 'Acceptor']","['3-oxo-C86-cis-keto-mycolate-pks13', 'Donor-H2']", 'No-Data'
13,EC-1.1,"['CPD-720', 'Acceptor']","['CPD-717', 'Donor-H2']", 'No-Data'
14,EC-1.1,"['CPD-9939', 'Acceptor']","['CPD-9940', 'Donor-H2']", 'No-Data'
15,EC-1.1,"['4-3-PYRIDYL-BUTANOATE', 'Acceptor']","['CPD-3194', 'Donor-H2']", 'No-Data'
16,EC-1.1,"['C86-trans-methoxy-mycolate-pks13', 'Acceptor']","['3-oxo-C86-trans-methoxy-mycolate-pks13', 'Donor-H2']", 'No-Data'
17,EC-1.1,"['CPD-3482', 'Acceptor']","['CPD-3481', 'Donor-H2']", 'No-Data'
18,EC-1.1,"['C87-trans-keto-mycolate-pks13', 'Acceptor']","['3-oxo-C87-trans-keto-mycolate-pks13', 'Donor-H2']", 'No-Data'
19,EC-1.1,"['CPD-3484', 'Acceptor']","['CPD-3481', 'Donor-H2']", 'No-Data'
20,EC-1.1,"['CPD-9938', 'Acceptor']","['CPD-9941', 'Donor-H2']", 'No-Data'
21,EC-1.1,"['trans-D20-39-OH-40-Me-C60-1-ACPs', 'Acceptor']","['trans-D20-39-oxo-40-Me-C60-1-ACPs', 'Donor-H2']", 'No-Data'
22,EC-1.1,"['C78-alpha-mycolate-pks13', 'Acceptor']","['3-oxo-C78-alpha-mycolate-pks13', 'Donor-H2']", 'No-Data'
23,EC-1.1,"['CPD-712', 'Acceptor']","['CPD-3946', 'Donor-H2']", 'No-Data'
24,EC-1.1,"['CPD-715', 'Acceptor']","['CPD-717', 'Donor-H2']", 'No-Data'
25,EC-1.1,"['CPD-19424', 'Acceptor']","['CPD-19444', 'Donor-H2']", 'No-Data'
26,EC-1.1,"['3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE', 'NAD']","['CPD-293', 'NADH', 'PROTON']", -0.37818909999999994
27,EC-1.1,"['CPDQT-428', 'Acceptor']","['INDOLE-3-CARBOXALDEHYDE', 'Donor-H2']", 'No-Data'
28,EC-1.1,"['Alkyl-Sulfenates', 'Acceptor']","['Sulfines', 'Donor-H2']", 'No-Data'
29,EC-1.1,"['CPD-6362', 'Acceptor']","['ISATIN', 'Donor-H2']", 'No-Data'
30,EC-1.1,"['CPD-710', 'Acceptor']","['CPD-709', 'Donor-H2']", 'No-Data'
31,EC-1.1,"['CPD-3193', 'Acceptor']","['CPD-14094', 'Donor-H2']", 'No-Data'
32,EC-1.1,"['CPD-18293', 'Acceptor']","['CPD-18292', 'Donor-H2']", 'No-Data'
33,EC-1.1,"['CPD-17160', 'Acceptor']","['CPD-17161', 'Donor-H2']", 'No-Data'
34,EC-1.1,"['CPD-9737', 'Acceptor']","['CPD-9738', 'Donor-H2']", 'No-Data'
35,EC-1.1,"['CPD-717', 'Acceptor']","['CPD-12496', 'Donor-H2']", 'No-Data'
36,EC-1.1.1,"['D-galactopyranose', 'NADP']","['CPD-1242', 'NADPH', 'PROTON']",-1.6264648000000002
37,EC-1.1.1,"['CPD-14807', 'NADP']","['CPD-14806', 'NADPH', 'PROTON']", -0.1665039
38,EC-1.1.1,"['CPD-9667', 'Donor-H2']","['CPD-18794', 'Acceptor']", 'No-Data'
39,EC-1.1.1,"['CPD-19085', 'NAD']","['CPD-19088', 'NADH', 'PROTON']", 2.541809
40,EC-1.1.1,"['cis-D21-39-OH-40-Me-C59-1-ACPs', 'Acceptor']","['cis-D21-39-oxo-40-Me-C59-1-ACPs', 'Donor-H2']", 'No-Data'
41,EC-1.1.1,"['CPD-12004', 'NAD']","['CPD-10353', 'NADH', 'PROTON']", 1.0817871000000001
42,EC-1.1.1,"['CPD-15645', 'NAD-P-OR-NOP']","['CPD-15642', 'NADH-P-OR-NOP', 'PROTON']", -10.649414
43,EC-1.1.1,"['CPD0-1551', 'NADH-P-OR-NOP', 'PROTON']","['GLYCEROL', 'NAD-P-OR-NOP']", 5.0093994
44,EC-1.1.1,"['CPD-12905', 'Acceptor']","['CPD-12906', 'Donor-H2']", 'No-Data'
45,EC-1.1.1,"['16-HYDROXYPALMITATE', 'NADP']","['CPD-10512', 'NADPH', 'PROTON']", 1.2935181
46,EC-1.1.1,"['CPD-7275', 'NAD']","['PROTON', 'CPD-7257', 'NADH']", 1.0817261
47,EC-1.1.1,"['3S-11-cis-3-hydroxyretinol-RBPs', 'NADP']","['3S-11-cis-3-hydroxyretinal-RBPs', 'NADPH', 'PROTON']", 1.9857788
48,EC-1.1.1,"['CPD-15746', 'NADP']","['CPD-16423', 'NADPH', 'PROTON']", -1.6264648000000002
49,EC-1.1.1,"['RS-3-Sulfolactate', 'Acceptor']","['CPD-380', 'Donor-H2']", 'No-Data'
50,EC-1.1.1,"['CPD-347', 'NADP']","['HYDROXYPROPANAL', 'NADPH', 'PROTON']", 1.2935181
51,EC-1.1.1,"['CPD-12675', 'NAD']","['CPD-12680', 'CARBON-DIOXIDE', 'NADH']", 13.902404999999998
52,EC-1.1.1,"['CPD-13967', 'NADP']","['CPD-13987', 'NADPH', 'PROTON']", -1.6264648000000002
53,EC-1.1.1,"['CPD-17011', 'NAD-P-OR-NOP']","['CPD-17012', 'NADH-P-OR-NOP', 'PROTON']", -9.279358
54,EC-1.1.1,"['CPD-14805', 'NAD']","['CPD-14806', 'NADH', 'PROTON']", 1.0817871000000001
55,EC-1.1.1,"['ACETOIN', 'NADP']","['DIACETYL', 'NADPH', 'PROTON']", 2.293518
56,EC-1.1.1,"['CPD-17407', 'NADPH', 'PROTON']","['CPD-17409', 'NADP']", 1.6264648000000002
57,EC-1.1.1,"['3R-all-trans-3-hydroxyretinol-RBPs', 'NADP']","['3R-All-trans-3-hydroxyretinal-RBPs', 'NADPH', 'PROTON']", 1.9857788
58,EC-1.1.1,"['25-DDOL', 'NAD']","['PROTON', '25-DICHLOROHYDROQUINONE', 'NADH']", 4.121826
59,EC-1.1.1,"['CPD-16612', 'NAD-P-OR-NOP']","['CPD-16613', 'NADH-P-OR-NOP', 'PROTON']", -10.649445
